iter	Passed	Remaining
0	5	507
1	8	432
2	12	412
3	16	406
4	21	405
5	24	386
6	27	371
7	31	359
8	35	360
9	39	352
10	42	346
11	46	339
12	50	338
13	53	331
14	57	324
15	60	317
16	63	311
17	68	312
18	72	307
19	75	302
20	78	296
21	84	298
22	87	292
23	90	287
24	94	282
25	97	278
26	101	275
27	105	270
28	108	266
29	112	262
30	116	258
31	119	254
32	122	249
33	126	244
34	129	240
35	133	236
36	137	234
37	141	230
38	146	228
39	150	225
40	153	221
41	157	217
42	160	213
43	165	210
44	168	206
45	172	202
46	175	198
47	180	195
48	183	191
49	187	187
50	190	183
51	194	179
52	199	176
53	202	172
54	206	168
55	209	164
56	213	161
57	217	157
58	220	153
59	224	149
60	228	146
61	231	142
62	235	138
63	239	134
64	243	130
65	246	127
66	250	123
67	253	119
68	256	115
69	260	111
70	264	107
71	267	104
72	271	100
73	274	96
74	279	93
75	283	89
76	286	85
77	289	81
78	293	78
79	297	74
80	300	70
81	304	66
82	307	63
83	311	59
84	314	55
85	318	51
86	321	48
87	325	44
88	329	40
89	332	36
90	335	33
91	339	29
92	343	25
93	347	22
94	350	18
95	353	14
96	357	11
97	361	7
98	364	3
99	368	0
